Date & Time (Local), Date & Time (UTC),  Box Temp,  O3 Concentration,  O3 Gen Lamp Temp,  O3 Gen Ref,  O3 Meas,  O3 Ref,  Photo Lamp Temp,  Ref 4096mV,  Ref Ground,  Sample Flow,  Sample Press,  Sample Temp,  Slope 1,  Stability
11/14/2022 12:59:00,11/14/2022 11:59:00, 31.4880084991455, 0.782042801380157, -----, -----, 3545.17114257812, 3545.11865234375, 58.0035133361816, 4095.76831054687, 0, 785.241027832031, 26.9057312011719, 38.6816635131836, 1.04713189601898, 0.291546046733856
11/14/2022 13:00:00,11/14/2022 12:00:00, 31.5259952545166, 0.636740326881409, -----, -----, 3546.1201171875, 3546.0673828125, 57.9999961853027, 4095.76831054687, 0.0527153015136719, 788.345458984375, 26.9078826904297, 38.7745132446289, 1.04713189601898, 0.275163263082504
11/14/2022 13:01:00,11/14/2022 12:01:00, 31.5627384185791, 0.612893164157867, -----, -----, 3547.12158203125, 3547.01635742187, 58.001163482666, 4095.82104492187, 0, 790.167236328125, 26.9182777404785, 38.8572235107422, 1.04713189601898, 0.252680718898773
11/14/2022 13:02:00,11/14/2022 12:02:00, 31.576208114624, 0.491261750459671, -----, -----, 3547.91235351562, 3547.85961914062, 57.9988288879395, 4095.82104492187, 0, 791.8095703125, 26.9498310089111, 38.9342880249023, 1.04713189601898, 0.181880682706833
11/14/2022 13:03:00,11/14/2022 12:03:00, 31.6104793548584, 0.392927974462509, -----, -----, 3548.9140625, 3548.9140625, 58.0035133361816, 4095.82104492187, 0, 786.498046875, 26.8870868682861, 39.0101852416992, 1.04713189601898, 0.14822755753994
11/14/2022 13:04:00,11/14/2022 12:04:00, 31.6520709991455, 0.586780369281769, -----, -----, 3549.70458984375, 3549.75732421875, 58.0023384094238, 4095.76831054687, 0, 789.833801269531, 26.888521194458, 39.0860290527344, 1.04713189601898, 0.0968871638178825
11/14/2022 13:05:00,11/14/2022 12:05:00, 31.6875247955322, 0.587379515171051, -----, -----, 3550.60083007812, 3550.60083007812, 58.001163482666, 4095.82104492187, 0.0527153015136719, 792.296997070312, 26.8824272155762, 39.1562461853027, 1.04713189601898, 0.104508355259895
11/14/2022 13:06:00,11/14/2022 12:06:00, 31.7083034515381, 0.611624240875244, -----, -----, 3551.3388671875, 3551.44409179687, 58.0023384094238, 4095.82104492187, 0.0527153015136719, 788.653503417969, 26.8591194152832, 39.2275314331055, 1.04713189601898, 0.0810179486870766
11/14/2022 13:07:00,11/14/2022 12:07:00, 31.7290668487549, 0.587822198867798, -----, -----, 3552.44580078125, 3552.44580078125, 57.9964866638184, 4095.76831054687, 0.0527153015136719, 791.01416015625, 26.9075241088867, 39.2943229675293, 1.04713189601898, 0.0845295637845993
11/14/2022 13:08:00,11/14/2022 12:08:00, 31.7510509490967, 0.369748324155807, -----, -----, 3553.23657226562, 3553.18383789062, 58.0023384094238, 4095.82104492187, 0.0527153015136719, 789.089721679687, 26.9078826904297, 39.3599624633789, 1.04713189601898, 0.114379808306694
11/14/2022 13:09:00,11/14/2022 12:09:00, 31.7583751678467, 0.806029319763184, -----, -----, 3554.02709960937, 3554.02709960937, 58.0023384094238, 4095.71557617187, 0, 787.75537109375, 26.9071655273437, 39.4200096130371, 1.04713189601898, 0.118185974657536
11/14/2022 13:10:00,11/14/2022 12:10:00, 31.7766895294189, 0.950793862342834, -----, -----, 3554.92333984375, 3554.87060546875, 57.9976539611816, 4095.82104492187, 0, 792.3740234375, 26.9100303649902, 39.4766845703125, 1.04713189601898, 0.199567928910255
11/14/2022 13:11:00,11/14/2022 12:11:00, 31.7876720428467, 0.852526187896729, -----, -----, 3555.81958007812, 3555.76684570312, 58.0023384094238, 4095.76831054687, 0, 786.806091308594, 26.9322624206543, 39.5311088562012, 1.04713189601898, 0.297999233007431
11/14/2022 13:12:00,11/14/2022 12:12:00, 31.7962131500244, 0.51349288225174, -----, -----, 3556.66284179687, 3556.61010742187, 57.9929847717285, 4095.82104492187, 0, 799.532653808594, 26.9071655273437, 39.5910682678223, 1.04713189601898, 0.260654538869858
11/14/2022 13:13:00,11/14/2022 12:13:00, 31.8059787750244, 0.780158698558807, -----, -----, 3557.13720703125, 3557.13720703125, 58.0023384094238, 4095.82104492187, 0, 786.190307617187, 26.8895969390869, 39.6398963928223, 1.04713189601898, 0.208941861987114
11/14/2022 13:14:00,11/14/2022 12:14:00, 31.8401317596436, 0.585733711719513, -----, -----, 3557.98071289062, 3557.98071289062, 58.0023384094238, 4095.76831054687, 0, 786.729064941406, 26.8892383575439, 39.6920280456543, 1.04713189601898, 0.206383213400841
11/14/2022 13:15:00,11/14/2022 12:15:00, 31.8376903533936, 0.756403505802155, -----, -----, 3558.560546875, 3558.560546875, 58.0023384094238, 4095.82104492187, 0, 790.449584960937, 26.873462677002, 39.7397041320801, 1.04713189601898, 0.122264437377453
11/14/2022 13:16:00,11/14/2022 12:16:00, 31.848669052124, 0.927074790000916, -----, -----, 3559.50952148437, 3559.56225585937, 57.9999961853027, 4095.76831054687, 0, 788.576477050781, 26.8576889038086, 39.7862548828125, 1.04713189601898, 0.163468271493912
11/14/2022 13:17:00,11/14/2022 12:17:00, 31.8376903533936, 0.320443838834763, -----, -----, 3560.45825195312, 3560.40551757812, 57.9988288879395, 4095.82104492187, 0.0527153015136719, 786.908752441406, 26.9085998535156, 39.8250350952148, 1.04713189601898, 0.155216455459595
11/14/2022 13:18:00,11/14/2022 12:18:00, 31.8632946014404, 0.247613236308098, -----, -----, 3561.2490234375, 3561.2490234375, 57.9988288879395, 4095.76831054687, 0, 785.420532226562, 26.9096717834473, 39.8682289123535, 1.04713189601898, 0.290035098791122
11/14/2022 13:19:00,11/14/2022 12:19:00, 31.8718242645264, 0.247015580534935, -----, -----, 3562.14526367187, 3562.14526367187, 58.001163482666, 4095.76831054687, 0, 788.31982421875, 26.9107494354248, 39.9047660827637, 1.04713189601898, 0.347953826189041
11/14/2022 13:20:00,11/14/2022 12:20:00, 31.8852367401123, 0.246987119317055, -----, -----, 3563.04125976562, 3562.98852539062, 58.001163482666, 4095.82104492187, 0, 787.216613769531, 26.92795753479, 39.9446144104004, 1.04713189601898, 0.265050768852234
11/14/2022 13:21:00,11/14/2022 12:21:00, 31.9035129547119, 0.343471437692642, -----, -----, 3564.09545898437, 3564.04272460937, 57.9964866638184, 4095.76831054687, 0, 792.630554199219, 26.9455261230469, 39.9855537414551, 1.04713189601898, 0.106247954070568
11/14/2022 13:22:00,11/14/2022 12:22:00, 31.9242191314697, 0.70712548494339, -----, -----, 3564.99169921875, 3565.09716796875, 57.9988288879395, 4095.82104492187, 0, 787.421997070312, 26.8863697052002, 40.0154190063477, 1.04713189601898, 0.153941407799721
11/14/2022 13:23:00,11/14/2022 12:23:00, 31.9522190093994, 0.514443159103394, -----, -----, 3565.9404296875, 3565.9931640625, 57.9999961853027, 4095.76831054687, 0, 788.345458984375, 26.8863697052002, 40.0485992431641, 1.04713189601898, 0.188832372426987
11/14/2022 13:24:00,11/14/2022 12:24:00, 31.9753475189209, 0.3448506295681, -----, -----, 3566.57299804687, 3566.67846679687, 58.0023384094238, 4095.76831054687, 0, 788.345458984375, 26.8867282867432, 40.0850791931152, 1.04713189601898, 0.184388354420662
